Date,Description,Amount
6/25/2024,PUBLIX              WEST PALM BEACH     FL,4.8
6/28/2024,SAMSCLUB.COM#6279 62TEMPLE              TX,12.43
7/2/2024,AplPay PANDA EXPRESSPALM BEACH GA       FL,10.49
7/3/2024,AplPay 1699 GREAT CLLAKE PARK           FL,14
7/4/2024,SAM'S CLUB 8157     W. PALM BEACH       FL,92.31
7/4/2024,SAMSCLUB.COM#6279 62TEMPLE              TX,19.38
7/6/2024,SAM'S CLUB 8157     W. PALM BEACH       FL,10.48
7/12/2024,AplPay SHEIN.COM 000LOS ANGELES         CA,1.93
7/12/2024,AplPay SHEIN.COM 000NEW YORK            NY,12.38
7/12/2024,SAMSCLUB.COM#6279 62TEMPLE              TX,5.15
7/13/2024,SAM'S CLUB 8157     W. PALM BEACH       FL,-28.08
7/13/2024,SAM'S CLUB 8157     W. PALM BEACH       FL,-7.29
7/15/2024,SAM'S CLUB 8157     W. PALM BEACH       FL,28.06
7/17/2024,AMAZON.COM          AMZN.COM/BILL       WA,14.81
7/17/2024,MOBILE PAYMENT - THANK YOU,-50
7/19/2024,AplPay BURGER KING  RIVIERA BEACH       FL,1.81
7/19/2024,AplPay DOLLAR TREE 0WEST PALM BEA       FL,6.69
7/19/2024,SAMSCLUB.COM#6279 62TEMPLE              TX,8.15
7/20/2024,AMAZON MARKEPLACE NA PA,14.97
7/20/2024,AMAZON MARKEPLACE NA PA,39.99
7/21/2024,AplPay PRIMO WATER 1HUNT VALLEY         MD,0.5
7/22/2024,AMAZON MARKEPLACE NA PA,27.99
7/22/2024,AMAZON MARKEPLACE NA PA,42.79
7/22/2024,SAM'S CLUB 8157 8157W. PALM BEACH       FL,7.95
7/23/2024,AplPay PUBLIX       WEST PALM BEACH     FL,7.17
7/26/2024,SAM'S CLUB 8157 8157W. PALM BEACH       FL,95.99
7/27/2024,AMAZON MARKEPLACE NA PA,77.02
7/28/2024,AMAZON MARKEPLACE NA PA,45.67
7/30/2024,SAM'S CLUB 8157 8157W. PALM BEACH       FL,22.02
8/1/2024,AMAZON MARKEPLACE NA PA,37.99
8/2/2024,SAM'S CLUB 8157 8157W. PALM BEACH       FL,20.35
8/4/2024,AMAZON MARKETPLACE NAMZN.COM/BILL       WA,-47.07
8/4/2024,AMAZON MARKETPLACE NAMZN.COM/BILL       WA,-37.99
8/4/2024,AMAZON MARKETPLACE NAMZN.COM/BILL       WA,-31.77
8/4/2024,AMAZON MARKETPLACE NAMZN.COM/BILL       WA,-29.95
8/4/2024,AMAZON MARKETPLACE NAMZN.COM/BILL       WA,-27.99
8/4/2024,AMAZON MARKETPLACE NAMZN.COM/BILL       WA,-13.9
8/6/2024,AMAZON MARKEPLACE NA PA,10.69
8/6/2024,AplPay SHEIN.COM 000LOS ANGELES         CA,-1.93
8/7/2024,AMAZON MARKEPLACE NA PA,7.59
8/12/2024,AMAZON MARKEPLACE NA PA,7.27
8/14/2024,WAL-MART SUPERCENTERLAKE PARK           FL,11.84
8/16/2024,AMAZON MARKETPLACE NAMZN.COM/BILL       WA,-39.99
8/16/2024,BATHANDBODYWORKS.COM,15.89
8/16/2024,SAM'S CLUB 8157 8157W. PALM BEACH       FL,50.88
8/19/2024,AMAZON MARKEPLACE NA PA,9.45
8/19/2024,AMAZON.COM          AMZN.COM/BILL       WA,82.36
8/19/2024,AplPay BURGER KING #JUPITER             FL,2.13
8/19/2024,AplPay BURGER KING #JUPITER             FL,9.99
8/20/2024,MOBILE PAYMENT - THANK YOU,-200
8/20/2024,SAM'S CLUB 8157 8157W. PALM BEACH       FL,24.05
8/21/2024,AplPay SHEIN.COM 000NEW YORK            NY,-12.38
8/21/2024,ROSS STORES #1761   W PALM BEACH        FL,50.26
8/21/2024,WAL-MART SUPERCENTERLAKE PARK           FL,20.17
8/23/2024,SAM'S CLUB 8157 8157W. PALM BEACH       FL,9.95
8/23/2024,WAL-MART SUPERCENTERLAKE PARK           FL,3.82
8/24/2024,SAM'S CLUB 8157 8157W. PALM BEACH       FL,25.67
8/25/2024,WAL-MART SUPERCENTERLAKE PARK           FL,1.8
8/25/2024,WAL-MART SUPERCENTERLAKE PARK           FL,4.14
8/29/2024,AplPay TEMU.COM 5190BOSTON              MA,9.86
8/29/2024,MOBILE PAYMENT - THANK YOU,-200
8/31/2024,SAM'S CLUB 8157 8157W. PALM BEACH       FL,88.79
9/1/2024,SAM'S CLUB FUEL 8201BRADENTON           FL,49.22
9/3/2024,SAM'S CLUB 8157 8157W. PALM BEACH       FL,-14.78
9/3/2024,SAM'S CLUB 8157 8157W. PALM BEACH       FL,44.72
9/7/2024,WAL-MART SUPERCENTERLAKE PARK           FL,8.68
9/8/2024,AplPay KOHL'S       LAKE PARK           FL,3.8
9/10/2024,AplPay BURGER KING  RIVIERA BEACH       FL,8.01
9/10/2024,SAM'S CLUB 8157 8157W. PALM BEACH       FL,29.44
9/12/2024,AMAZON MARKEPLACE NA PA,6.41
9/12/2024,AplPay BT*TEMU.COM  BOSTON              MA,48.18
9/13/2024,AplPay BT*TEMU.COM  BOSTON              MA,-48.18
9/13/2024,AplPay BT*TEMU.COM  BOSTON              MA,6.55
9/14/2024,AplPay BURGER KING #ORLANDO             FL,2.65
9/17/2024,MOBILE PAYMENT - THANK YOU,-250
9/19/2024,AplPay STORE        PALM BEACH GARDENS  FL,0.75
9/20/2024,WAL-MART SUPERCENTERLAKE PARK           FL,0.98
9/20/2024,WAL-MART SUPERCENTERLAKE PARK           FL,19.37
9/21/2024,AMAZON.COM          AMZN.COM/BILL       WA,-82.36
9/22/2024,WAL-MART SUPERCENTERLAKE PARK           FL,6.68
9/23/2024,WALMART.COM         BENTONVILLE         AR,5.33
9/29/2024,AMAZON MARKEPLACE NA PA,4.8
10/5/2024,SAM'S CLUB 8157 8157W. PALM BEACH       FL,32.65
10/7/2024,SAM'S CLUB 8157 8157W. PALM BEACH       FL,57.65
10/17/2024,AMAZON MARKEPLACE NA PA,60.98
10/18/2024,AMAZON.COM          AMZN.COM/BILL       WA,7.03
10/18/2024,SAM'S CLUB 8157 8157W. PALM BEACH       FL,59.96
10/19/2024,AMAZON MARKEPLACE NA PA,43.85
10/19/2024,MOBILE PAYMENT - THANK YOU,-40
10/19/2024,WAL-MART SUPERCENTERLAKE PARK           FL,2.01
10/20/2024,AMAZON MARKEPLACE NA PA,59.91
10/21/2024,AMAZON MARKEPLACE NA PA,37.44
10/22/2024,SAM'S CLUB 8157 8157W. PALM BEACH       FL,-21.38
10/22/2024,SAM'S CLUB 8157 8157W. PALM BEACH       FL,11.57
10/24/2024,AMAZON.COM          AMZN.COM/BILL       WA,29.23
10/25/2024,AMAZON.COM          AMZN.COM/BILL       WA,6.62
10/25/2024,AplPay AIRPORTPARKINCHICAGO             IL,44.95
10/27/2024,AplPay OBER MOUNTAINGATLINBURG          TN,163.07
10/31/2024,AplPay BURGER KING #DANIA               FL,2.13
10/31/2024,MOBILE PAYMENT - THANK YOU,-100
10/31/2024,WAL-MART SUPERCENTERWEST PALM BEACH     FL,13.22
11/2/2024,AMAZON.COM          AMZN.COM/BILL       WA,-7.03
11/2/2024,SAM'S CLUB 8157 8157W. PALM BEACH       FL,21.27
11/3/2024,AMAZON.COM          AMZN.COM/BILL       WA,-7.03
11/3/2024,AMAZON.COM          AMZN.COM/BILL       WA,39.58
11/3/2024,WAL-MART SUPERCENTERLAKE PARK           FL,-5.35
11/3/2024,WAL-MART SUPERCENTERLAKE PARK           FL,6.33
11/4/2024,AMAZON.COM          AMZN.COM/BILL       WA,12.18
11/4/2024,AplPay BURLINGTON STWEST PALM BEA       FL,17.32
11/4/2024,AplPay STORE        PALM BEACH GARDENS  FL,1.07
11/6/2024,AMAZON.COM          AMZN.COM/BILL       WA,-6.62
11/6/2024,ONLINE PAYMENT - THANK YOU,-161.29
11/7/2024,AMAZON MARKETPLACE NAMZN.COM/BILL       WA,-60.98
11/7/2024,AMAZON MARKETPLACE NAMZN.COM/BILL       WA,-37.44
11/7/2024,AMAZON MARKETPLACE NAMZN.COM/BILL       WA,-26.74
11/7/2024,AMAZON MARKETPLACE NAMZN.COM/BILL       WA,-17.11
11/7/2024,AMAZON MARKEPLACE NA PA,34.55
11/11/2024,K3SV:0001 200.00 credit,-200
11/13/2024,AMAZON.COM          AMZN.COM/BILL       WA,-39.58
11/13/2024,SAM'S CLUB 8157 8157W. PALM BEACH       FL,35.22
11/14/2024,AMAZON MARKETPLACE NAMZN.COM/BILL       WA,-59.91
11/16/2024,WAL-MART SUPERCENTERLAKE PARK           FL,10.75
11/17/2024,BATHANDBODYWORKS.COM,25.47
11/17/2024,BJS.COM #5490 000005MARLBOROUGH         MA,107.49
11/18/2024,AplPay OLD NAVY US 7WEST PALM BEACH     FL,5.35
11/21/2024,ONLINE PAYMENT - THANK YOU,-40
11/25/2024,AMAZON MARKEPLACE NA PA,11.55
11/29/2024,AMAZON.COM          AMZN.COM/BILL       WA,59.91
11/29/2024,WAL-MART SUPERCENTERLAKE PARK           FL,21.27
11/29/2024,WAL-MART SUPERCENTERWEST PALM BEACH     FL,10.57
11/30/2024,WAL-MART SUPERCENTERLAKE PARK           FL,5.4
11/30/2024,WALMART.COM         WALMART.COM         AR,20.33
11/30/2024,WALMART.COM         WALMART.COM         AR,74.64
12/2/2024,AMAZON MARKEPLACE NA PA,19.35
12/2/2024,AMAZON MARKEPLACE NA PA,20.85
12/4/2024,AMAZON MARKEPLACE NA PA,37.32
12/5/2024,AMAZON MARKEPLACE NA PA,10.69
12/8/2024,AMAZON MARKETPLACE NAMZN.COM/BILL       WA,-11.55
12/8/2024,AMAZON MARKEPLACE NA PA,10.64
12/11/2024,WAL-MART SUPERCENTERLAKE PARK           FL,33.64
12/12/2024,SAM'S CLUB 8157 8157W. PALM BEACH       FL,19.98
12/12/2024,SAM'S CLUB 8157 8157W. PALM BEACH       FL,52.95
12/16/2024,AMAZON MARKEPLACE NA PA,10.69
12/16/2024,ONLINE PAYMENT - THANK YOU,-200
12/16/2024,WAL-MART SUPERCENTERLAKE PARK           FL,-20.33
12/16/2024,WAL-MART SUPERCENTERLAKE PARK           FL,-10.57
12/16/2024,WAL-MART SUPERCENTERLAKE PARK           FL,-2.4
12/16/2024,WAL-MART SUPERCENTERLAKE PARK           FL,2.14
12/19/2024,AMAZON.COM          AMZN.COM/BILL       WA,25.14
12/19/2024,AMAZON.COM          AMZN.COM/BILL       WA,35.78
12/20/2024,AMAZON.COM          AMZN.COM/BILL       WA,11.97
12/20/2024,SAMSUNG ELECTRONICS RIDGEFIELD PARK     NJ,128.3
12/21/2024,NIKE INC E-COMMERCE,44.91
12/22/2024,AplPay TEMU.COM     TEMU.COM            DE,20.63
12/22/2024,WAL-MART SUPERCENTERWEST PALM BEACH     FL,45.77
12/22/2024,WALMART.COM         BENTONVILLE         AR,18.17
12/26/2024,BATHANDBODYWORKS.COM,108.63
12/26/2024,ONLINE PAYMENT - THANK YOU,-100
12/26/2024,WALMART.COM         BENTONVILLE         AR,10.69
12/27/2024,AMAZON.COM          AMZN.COM/BILL       WA,34.47
12/27/2024,WALMART.COM 80092562BENTONVILLE         AR,16.02
12/28/2024,AMAZON.COM          AMZN.COM/BILL       WA,-11.97
12/28/2024,WAL-MART SUPERCENTERLAKE PARK           FL,7.54
12/30/2024,WALMART.COM 80092562BENTONVILLE         AR,9.6
12/31/2024,AMAZON MARKETPLACE NAMZN.COM/BILL       WA,-28.88
12/31/2024,AMAZON.COM          AMZN.COM/BILL       WA,-12.57
12/31/2024,WALMART.COM         BENTONVILLE         AR,-18.17
