Status,Date,Description,Debit,Credit
Cleared,10/27/2025,"ONLINE PAYMENT, THANK YOU",,-186.70
Cleared,10/16/2025,"ONLINE PAYMENT, THANK YOU",,-1300.00
Cleared,10/01/2025,"INTEREST CHARGED TO STANDARD PURCH",24.04,
