Date,Description,Amount
04/29/2026,WAL-MART SUPERCENTERLAKE PARK           FL,-4.77
04/29/2026,WALMART.COM         WALMART.COM         AR,-83.04
04/29/2026,WALMART.COM         WALMART.COM         AR,-17.03
04/26/2026,SAMS CLUB.COM 06279 BENTONVILLE         AR,21.87
04/20/2026,SAM'S CLUB 8157 8157W. PALM BEACH       FL,37.48
04/14/2026,MOBILE PAYMENT - THANK YOU,-102.13
04/10/2026,SAM'S CLUB 6409 6409TUCKER              GA,94.06
04/04/2026,SAM'S CLUB 8157 8157W. PALM BEACH       FL,17.04
04/02/2026,WALMART.COM         WALMART.COM         AR,100.07
