Date,Description,Amount
02/18/2026,BJS WHOLESALE #0227 WEST PALM BEAFL,-23.42
02/05/2026,ONLINE PAYMENT THANK YOU,-35.0
02/04/2026,MINIMUM INTEREST CHARGE,1.0
