Date,Description,Amount
2/5/2026,ONLINE PAYMENT THANK YOU,-10.27
2/5/2026,BILTPROTECT RENT ACH CREDIT,-2496.94
2/4/2026,ONLINE PAYMENT THANK YOU,-58.64
2/4/2026,BPS*BILT RENT NEW YORK NY,2496.94
2/4/2026,ARAMARK FP AND L JUNO JUNO BEACH FL,6.06
2/4/2026,ARAMARK FP AND L JUNO JUNO BEACH FL,4.21
2/3/2026,POPEYES 04549 RIVIERA BEACHFL,10.65
2/2/2026,ARAMARK FP AND L JUNO JUNO BEACH FL,2.01
2/11/2026,DOMINO'S 5062 NORTH PALM BEFL,15.42
