Date,Description,Amount
06/15/2026,"ONLINE PAYMENT, THANK YOU",-93.25
06/15/2026,XFINITY MOBILE PHILADELPHIA PA null XXXXXXXXXXXX7278,1.84
06/11/2026,CITY PBG REC ONLINE PALM BEACH GA FL,-60.0
06/11/2026,CITY PBG REC PROGRAMS PALM BEACH GA FL,60.0
06/09/2026,CROCS INC 8663063179 CO null XXXXXXXXXXXX9181,-39.92
06/01/2026,MEMBERSHIP FEE JUN 26-MAY 27,0.0
